sample_id,task,target_dialect,dialect_text,standard_text,source_text,hypothesis,label,domain,split
MCQA_0104_4,MCQA,PNT2,"Anh Cua bò vô chum nước ni. Cô Ong đợi sau cánh cửa... Theo em tác giả đạ sử dụng hình ảnh mô dưới đây?
A. So sánh.
B. Nhân hóa.
C. Nỏ có hình ảnh mô.
D. Cả so sánh và nhân hóa.","Anh Cua bò vào chum nước này. Cô Ong đợi sau cánh cửa... Theo em tác giả đã sử dụng hình ảnh nào dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh nào.
D. Cả so sánh và nhân hóa.","Anh Cua bò vào chum nước này. Cô Ong đợi sau cánh cửa... Theo em tác giả đã sử dụng hình ảnh nào dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh nào.
D. Cả so sánh và nhân hóa.",Nhân hóa.,B,Daily Conversation,train
MCQA_0104_4,MCQA,PNT3,"Anh Cua bò vô chum nước ni. Cô Ong chờ sau cánh cửa... Theo em tác giả đã dùng hình ảnh mô dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh mô.
D. Cả so sánh và nhân hóa.","Anh Cua bò vào chum nước này. Cô Ong đợi sau cánh cửa... Theo em tác giả đã sử dụng hình ảnh nào dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh nào.
D. Cả so sánh và nhân hóa.","Anh Cua bò vào chum nước này. Cô Ong đợi sau cánh cửa... Theo em tác giả đã sử dụng hình ảnh nào dưới đây?
A. So sánh.
B. Nhân hóa.
C. Không có hình ảnh nào.
D. Cả so sánh và nhân hóa.",Nhân hóa.,B,Daily Conversation,train
MCQA_0010_1,MCQA,PNB,"Vì sao bố muốn cho bớt chó con đi?
A. Vì bố không thích chó con.
B. Vì bố thích đem cho người khác.
C. Vì nhà hàng xóm xin từ trước.
D. Vì nhiều quá, nuôi không hết.","Vì sao cha muốn cho bớt chó con đi?
A. Vì cha không thích chó con.
B. Vì bố thích đem cho người khác.
C. Vì nhà hàng xóm xin từ trước.
D. Vì nhiều quá, nuôi không xuể.","Vì sao cha muốn cho bớt chó con đi?
A. Vì cha không thích chó con.
B. Vì bố thích đem cho người khác.
C. Vì nhà hàng xóm xin từ trước.
D. Vì nhiều quá, nuôi không xuể.","Vì nhiều quá, nuôi không xuể.",D,Daily Conversation,train
MCQA_0010_1,MCQA,PNT2,"Tại răng bố muốn cho bớt chó con đi?
A. Tại bố nỏ thích chó con.
B. Tại bố thích đem cho ngài khác.
C. Tại nhà hàng xóm xin từ trước.
D. Tại nhiều quá, nuôi nỏ xuể.","Vì sao cha muốn cho bớt chó con đi?
A. Vì cha không thích chó con.
B. Vì bố thích đem cho người khác.
C. Vì nhà hàng xóm xin từ trước.
D. Vì nhiều quá, nuôi không xuể.","Vì sao cha muốn cho bớt chó con đi?
A. Vì cha không thích chó con.
B. Vì bố thích đem cho người khác.
C. Vì nhà hàng xóm xin từ trước.
D. Vì nhiều quá, nuôi không xuể.","Vì nhiều quá, nuôi không xuể.",D,Daily Conversation,train
MCQA_0010_1,MCQA,PNT3,"Vì răng bọ ưng cho bớt chó con đi?

A. Vì bọ nỏ ưng chó con.
B. Vì bọ ưng đem cho họ.
C. Vì nhà hàng xóm xin từ bựa.
D. Vì nhiều quái, nuôi nỏ xuể.","Vì sao cha muốn cho bớt chó con đi?
A. Vì cha không thích chó con.
B. Vì bố thích đem cho người khác.
C. Vì nhà hàng xóm xin từ trước.
D. Vì nhiều quá, nuôi không xuể.","Vì sao cha muốn cho bớt chó con đi?
A. Vì cha không thích chó con.
B. Vì bố thích đem cho người khác.
C. Vì nhà hàng xóm xin từ trước.
D. Vì nhiều quá, nuôi không xuể.","Vì nhiều quá, nuôi không xuể.",D,Daily Conversation,train
MCQA_0062_0,MCQA,PNB,"Câu văn nào cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng khống chế của giặc.
D. Chúng tôi đã thật sự đặt chân lên vùng Đất Đỏ.","Câu văn nào cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Chúng tôi đã thật sự đặt chân lên vùng Đất Đỏ.","Câu văn nào cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Chúng tôi đã thật sự đặt chân lên vùng Đất Đỏ.","Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.",C,Daily Conversation,train
MCQA_0062_0,MCQA,PNT2,"Câu văn mô cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Choa đạ thật sự đặt chân lên vùng Đất Đỏ.","Câu văn nào cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Chúng tôi đã thật sự đặt chân lên vùng Đất Đỏ.","Câu văn nào cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Chúng tôi đã thật sự đặt chân lên vùng Đất Đỏ.","Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.",C,Daily Conversation,train
MCQA_0062_0,MCQA,PNT3,"Câu văn mô cho thấy quyết tâm của mấy chiến sĩ về giải phóng Đất Đỏ ?
A. Bọn tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Bọn mềng đã thật sự đặt chân lên vùng Đất Đỏ.","Câu văn nào cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Chúng tôi đã thật sự đặt chân lên vùng Đất Đỏ.","Câu văn nào cho thấy quyết tâm của các chiến sĩ về giải phóng Đất Đỏ ?
A. Chúng tôi đang tiến về miền Đất Đỏ.
B. Đất Đỏ là quê hương chị Võ Thị Sáu.
C. Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.
D. Chúng tôi đã thật sự đặt chân lên vùng Đất Đỏ.","Chúng ta phải đánh thắng, phải đưa cho được đồng bào ở đó ra khỏi vòng kìm kẹp của giặc.",C,Daily Conversation,train
MCQA_0144_0,MCQA,PNB,"Ngày bão vắng mẹ, ba bố con vất vả như thế nào?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Ngày bão vắng mẹ, ba cha con vất vả như thế nào?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Ngày bão vắng mẹ, ba cha con vất vả như thế nào?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.",C,Daily Conversation,train
MCQA_0144_0,MCQA,PNT2,"Ngày bão vắng mẹ, ba cha con vất vả như răng?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Ngày bão vắng mẹ, ba cha con vất vả như thế nào?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Ngày bão vắng mẹ, ba cha con vất vả như thế nào?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.",C,Daily Conversation,train
MCQA_0144_0,MCQA,PNT3,"Ngày bạo thiếu mạ, ba bọ con khổ như răng?
A. Giường có hai cấy thì một cấy bị ướt, ba bọ con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bọ đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Ngày bão vắng mẹ, ba cha con vất vả như thế nào?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Ngày bão vắng mẹ, ba cha con vất vả như thế nào?
A. Giường có hai chiếc thì một chiếc bị ướt, ba bố con phải nằm chung.
B. Củi mùn cũng bị ướt.
C. Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.
D. Cả ba ý trên đều đúng.","Chị hái lá cho thỏ ăn, em thì chăm đàn ngan, bố đi chợ và nấu cơm.",C,Daily Conversation,train
MCQA_0037_4,MCQA,PNB,"Tại sao không nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như vậy là mất lịch sự.
B. Vì như vậy là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.","Tại sao không nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như vậy là mất lịch sự.
B. Vì như vậy là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.","Tại sao không nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như vậy là mất lịch sự.
B. Vì như vậy là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.",Vì như vậy là mất lịch sự.,A,Daily Conversation,train
MCQA_0037_4,MCQA,PNT2,"Tại răng nỏ nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như rứa là mất lịch sự.
B. Vì như rứa là quá lịch sự.
C. Vì nỏ nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.","Tại sao không nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như vậy là mất lịch sự.
B. Vì như vậy là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.","Tại sao không nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như vậy là mất lịch sự.
B. Vì như vậy là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.",Vì như vậy là mất lịch sự.,A,Daily Conversation,train
MCQA_0037_4,MCQA,PNT3,"Vì răng không nên nghe người khác khi họ gọi điện thoại?
A. Vì như rứa là bờ hơ.
B. Vì như rứa là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.","Tại sao không nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như vậy là mất lịch sự.
B. Vì như vậy là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.","Tại sao không nên nghe người khác khi họ nói chuyện điện thoại?
A. Vì như vậy là mất lịch sự.
B. Vì như vậy là quá lịch sự.
C. Vì không nên quan tâm đến người khác.
D. Vì nên nghe người khác nói chuyện trực tiếp.",Vì như vậy là mất lịch sự.,A,Daily Conversation,train
MCQA_0014_1,MCQA,PNB,"Bé cùng bố đi đâu vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.","Bé cùng bố đi đâu vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.","Bé cùng bố đi đâu vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.",Đi biển chơi.,D,Daily Conversation,train
MCQA_0014_1,MCQA,PNT2,"Bé cùng bố đi mô vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.","Bé cùng bố đi đâu vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.","Bé cùng bố đi đâu vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.",Đi biển chơi.,D,Daily Conversation,train
MCQA_0014_1,MCQA,PNT3,"Bé với bọ đi mô mùa hè?
A. Đi đền chùa.
B. Đi lên rú.
C. Đi leo núi.
D. Đi biển chơi.","Bé cùng bố đi đâu vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.","Bé cùng bố đi đâu vào mùa hè?
A. Đi đền chùa.
B. Đi lên rừng.
C. Đi leo núi.
D. Đi biển chơi.",Đi biển chơi.,D,Daily Conversation,train
MCQA_0095_1,MCQA,PNB,"Sau khi đứt lìa cành, rơi xuống dòng nước, chiếc lá non như thế nào?
A. Nó bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, trôi vào bờ suối đầy bùn.
D. Bị rách và dính đầy bùn.","Sau khi bứt lìa cành, rơi xuống dòng nước, chiếc lá non như thế nào?
A. Nó bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vào bờ suối đầy bùn.
D. Bị hư và dính đầy bùn.","Sau khi bứt lìa cành, rơi xuống dòng nước, chiếc lá non như thế nào?
A. Nó bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vào bờ suối đầy bùn.
D. Bị hư và dính đầy bùn.","Rách tả tơi, dạt vào bờ suối đầy bùn.",C,Daily Conversation,train
MCQA_0095_1,MCQA,PNT2,"Sau khi bứt lìa cành, rơi xuống dòng nước, chiếc lá non a răng?
A. Hấn bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vô bờ suối đầy bùn.
D. Bị hư và dính đầy bùn.","Sau khi bứt lìa cành, rơi xuống dòng nước, chiếc lá non như thế nào?
A. Nó bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vào bờ suối đầy bùn.
D. Bị hư và dính đầy bùn.","Sau khi bứt lìa cành, rơi xuống dòng nước, chiếc lá non như thế nào?
A. Nó bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vào bờ suối đầy bùn.
D. Bị hư và dính đầy bùn.","Rách tả tơi, dạt vào bờ suối đầy bùn.",C,Daily Conversation,train
MCQA_0095_1,MCQA,PNT3,"Sau khi bứt lìa cành, rớt xuống dòng nước, chiếc lá non như răng?
A. Hắn bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt rồi tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vô bờ suối toàn bùn.
D. Bị hư với dính đầy bùn.","Sau khi bứt lìa cành, rơi xuống dòng nước, chiếc lá non như thế nào?
A. Nó bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vào bờ suối đầy bùn.
D. Bị hư và dính đầy bùn.","Sau khi bứt lìa cành, rơi xuống dòng nước, chiếc lá non như thế nào?
A. Nó bồng bềnh giữa không trung, bay mãi, bay mãi đến phương trời.
B. Lạnh buốt và tiếp tục trôi theo dòng nước lũ.
C. Rách tả tơi, dạt vào bờ suối đầy bùn.
D. Bị hư và dính đầy bùn.","Rách tả tơi, dạt vào bờ suối đầy bùn.",C,Daily Conversation,train
